Category ID,Category Name,Category Label Level 1,Category Label Level 2,Category Label Level 3,Category Label Level 4,Category Label Level 5,Category Label Level 6
4d4b7104d754a06370d81259,Arts and Entertainment,Arts and Entertainment,,,,,
4bf58dd8d48988d182941735,Amusement Park,Arts and Entertainment , Amusement Park,,,,
5109983191d435c0d71c2bb1,Attraction,Arts and Entertainment , Amusement Park , Attraction,,,
4fceea171983d5d06c3e9823,Aquarium,Arts and Entertainment , Aquarium,,,,
4bf58dd8d48988d1e1931735,Arcade,Arts and Entertainment , Arcade,,,,
4bf58dd8d48988d1e2931735,Art Gallery,Arts and Entertainment , Art Gallery,,,,
63be6904847c3692a84b9b20,Bingo Center,Arts and Entertainment , Bingo Center,,,,
4bf58dd8d48988d1e4931735,Bowling Alley,Arts and Entertainment , Bowling Alley,,,,
63be6904847c3692a84b9b21,Carnival,Arts and Entertainment , Carnival,,,,
4bf58dd8d48988d17c941735,Casino,Arts and Entertainment , Casino,,,,
52e81612bcbc57f1066b79e7,Circus,Arts and Entertainment , Circus,,,,
4bf58dd8d48988d18e941735,Comedy Club,Arts and Entertainment , Comedy Club,,,,
63be6904847c3692a84b9b22,Country Club,Arts and Entertainment , Country Club,,,,
52e81612bcbc57f1066b79ef,Country Dance Club,Arts and Entertainment , Country Dance Club,,,,
63be6904847c3692a84b9b23,Dance Hall,Arts and Entertainment , Dance Hall,,,,
52e81612bcbc57f1066b79e8,Disc Golf,Arts and Entertainment , Disc Golf,,,,
63be6904847c3692a84b9c03,Disc Golf Course,Arts and Entertainment , Disc Golf Course,,,,
5f2c2834b6d05514c704451e,Escape Room,Arts and Entertainment , Escape Room,,,,
56aa371be4b08b9a8d573532,Exhibit,Arts and Entertainment , Exhibit,,,,
4eb1daf44b900d56c88a4600,Fair,Arts and Entertainment , Fair,,,,
4bf58dd8d48988d18d941735,Gaming Cafe,Arts and Entertainment , Gaming Cafe,,,,
4bf58dd8d48988d1f1931735,General Entertainment,Arts and Entertainment , General Entertainment,,,,
52e81612bcbc57f1066b79ea,Go Kart Track,Arts and Entertainment , Go Kart Track,,,,
4bf58dd8d48988d1f0941735,Internet Cafe,Arts and Entertainment , Internet Cafe,,,,
5744ccdfe4b0c0459246b4bb,Karaoke Box,Arts and Entertainment , Karaoke Box,,,,
52e81612bcbc57f1066b79e6,Laser Tag Center,Arts and Entertainment , Laser Tag Center,,,,
52e81612bcbc57f1066b79eb,Mini Golf Course,Arts and Entertainment , Mini Golf Course,,,,
4bf58dd8d48988d17f941735,Movie Theater,Arts and Entertainment , Movie Theater,,,,
56aa371be4b08b9a8d5734de,Drive-in Theater,Arts and Entertainment , Movie Theater , Drive-in Theater,,,
4bf58dd8d48988d17e941735,Indie Movie Theater,Arts and Entertainment , Movie Theater , Indie Movie Theater,,,
4bf58dd8d48988d180941735,Multiplex,Arts and Entertainment , Movie Theater , Multiplex,,,
4bf58dd8d48988d181941735,Museum,Arts and Entertainment , Museum,,,,
4bf58dd8d48988d18f941735,Art Museum,Arts and Entertainment , Museum , Art Museum,,,
559acbe0498e472f1a53fa23,Erotic Museum,Arts and Entertainment , Museum , Erotic Museum,,,
4bf58dd8d48988d190941735,History Museum,Arts and Entertainment , Museum , History Museum,,,
4bf58dd8d48988d191941735,Science Museum,Arts and Entertainment , Museum , Science Museum,,,
4bf58dd8d48988d11f941735,Night Club,Arts and Entertainment , Night Club,,,,
5744ccdfe4b0c0459246b4b8,Pachinko Parlor,Arts and Entertainment , Pachinko Parlor,,,,
63be6904847c3692a84b9b24,Party Center,Arts and Entertainment , Party Center,,,,
4bf58dd8d48988d1f2931735,Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,,,,
56aa371be4b08b9a8d5734db,Amphitheater,Arts and Entertainment , Performing Arts Venue , Amphitheater,,,
